Course_Code;Course_Id;Course_Name;Semester;Course_Department;Course_Starts;Course_Ends
SE-AI BUÞ1003;SE-AI BUÞ1003:30387:20173;Burðarþolsfræði;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-AI FJM1003;SE-AI FJM1003:30991:20173;Fjármál fyrirtækja;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-AI FJS1003;SE-AI FJS1003:31182:20181;Fjármálastjórn;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-AI FRK1003;SE-AI FRK1003:31107:20181;Framkvæmdafræði og verkstjórn;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-AI HAG1003;SE-AI HAG1003:30992:20173;Hagfræði;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-AI LOG1003;SE-AI LOG1003:30396:20173;Lögfræði;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-AI REH1003;SE-AI REH1003:30390:20173;Bókfærsla og reikningshald;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-AI RGR1003;SE-AI RGR1003:31183:20181;Rekstrargreining;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-AI STF1003;SE-AI STF1003:31184:20181;Nýsköpun og stofnun fyrirtækja;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-AI STJ1003;SE-AI STJ1003:31108:20181;Stjórnun, rekstur og öryggi;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-AI TEI1001;SE-AI TEI1001:30388:20173;Tölvustudd teikning;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-10-06 00:00:00.000
SE-AT AÐF1013;SE-AT AÐF1013:31127:20181;Tölfræði og aðferðafræði;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-27 00:00:00.000
SE-AT EÐL1003;SE-AT EÐL1003:30419:20173;Eðlisfræði;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-AT FOR1003;SE-AT FOR1003:30418:20173;Hagnýt forritun;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-AT RSN1003;SE-AT RSN1003:30430:20173;Rekstur, stjórnun og nýsköpun;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-AT STÆ1003;SE-AT STÆ1003:30420:20173;Stærðfræði I;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-AT STÆ2003;SE-AT STÆ2003:31141:20181;Stærðfræði II;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-06 00:00:00.000
SE-AT STÆ3003;SE-AT STÆ3003:30423:20173;Stærðfræði III;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-AT TÆK1002;SE-AT TÆK1002:30458:20173;Inngangur að tæknifræði - Tölvustudd hönnun;20173;Tækni- og verkfræðideild;2017-11-27 00:00:00.000;2017-12-19 00:00:00.000
SE-AT VST1003;SE-AT VST1003:30428:20173;Verkefnastjórnun og framkvæmdafræði;20173;Tækni- og verkfræðideild;2017-11-27 00:00:00.000;2017-12-19 00:00:00.000
SE-BF AÐF1001;SE-BF AÐF1001:30413:20173;Aðferðafræði, skýrslugerð og kynningar;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF BEH1108;SE-BF BEH1108:30409:20173;Breytingar og endurbætur á húsnæði - samþætt verkefni;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF BIM2001;SE-BF BIM2001:30410:20173;Tölvustudd teikning og hlutbundin hönnun;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF FAS1001;SE-BF FAS1001:31131:20181;Fasteignastjórnun;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-27 00:00:00.000
SE-BF HSB1007;SE-BF HSB1007:31134:20181;Hönnun stórbyggingar - samþætt verkefni;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-27 00:00:00.000
SE-BF LOF1001;SE-BF LOF1001:30414:20173;Loftræsing;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF LOK1010;SE-BF LOK1010:30416:20173;Lokaverkefni;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF RIT1005;SE-BF RIT1005:30415:20173;Ritgerð um sérhæft efni;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF STA1008;SE-BF STA1008:31136:20181;Starfsnám;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-27 00:00:00.000
SE-BF VER3003;SE-BF VER3003:30411:20173;Verkefnastjórnun, áætlanagerð og fjármál í verkefnum;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BF VIÐ1001;SE-BF VIÐ1001:30412:20173;Viðgerðir og viðhald húsa;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BI BFR1013;SE-BI BFR1013:31111:20181;Byggingarfræði - byggingartækni;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-BI BUÞ2013;SE-BI BUÞ2013:31112:20181;Burðarþol byggingarvirkja;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-BI EBE1003;SE-BI EBE1003:31113:20181;Efnis- og byggingaeðlisfræði;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-BI EFN1013;SE-BI EFN1013:30393:20173;Efnisfræði - steinsteypa - viðhald;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BI GÆÐ1001;SE-BI GÆÐ1001:30395:20173;Gæðastjórnun í mannvirkjagerð;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BI HON1001;SE-BI HON1001:30389:20173;Tölvustudd hönnun;20173;Tækni- og verkfræðideild;2017-10-06 00:00:00.000;2017-12-01 00:00:00.000
SE-BI HON2001;SE-BI HON2001:31115:20181;Tölvustudd hönnun II í Revit;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-BI HVL1003;SE-BI HVL1003:30391:20173;Hitunarfræði og lagnir;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BI JTÆ1002;SE-BI JTÆ1002:31116:20181;Jarðtækni;20181;Tækni- og verkfræðideild;2018-01-05 00:00:00.000;2018-04-27 00:00:00.000
SE-BI LAM1002;SE-BI LAM1002:30394:20173;Landmælingar;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-12-01 00:00:00.000
SE-BT ÁLA4002;SE-BT ÁLA4002:31142:20181;Álag og öryggi burðarvirkja;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-06 00:00:00.000
SE-BT BEÐ1003;SE-BT BEÐ1003:31273:20181;Byggingareðlisfræði;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-06 00:00:00.000
SE-BT BRU1001;SE-BT BRU1001:31143:20181;Brunatæknileg hönnun;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-06 00:00:00.000
SE-BT BUR3003;SE-BT BUR3003:30424:20173;Einingaaðferðin og greining burðarvirkja;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT BUÞ1013;SE-BT BUÞ1013:30421:20173;Burðarþolsfræði I;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT BYG1003;SE-BT BYG1003:31145:20181;Tré - og stálvirki I;20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-06 00:00:00.000
SE-BT BYG2013;SE-BT BYG2013:30766:20173;Tré- og stálvirki II;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT EFN2002;SE-BT EFN2002:30425:20173;Steinsteyputækni;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT HVB3003;SE-BT HVB3003:31148:20181;Hagnýtt verkefni í mannvirkjahönnun;20181;Tækni- og verkfræðideild;2018-04-23 00:00:00.000;2018-05-11 00:00:00.000
SE-BT INT1003;SE-BT INT1003:30817:20173;Starfsnám í byggingartæknifræði I;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT INT2003;SE-BT INT2003:30818:20173;Starfsnám í byggingartæknifræði II;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT JTÆ1003;SE-BT JTÆ1003:30427:20173;Jarðtækni og hagnýt jarðfræði;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT LAG1013;SE-BT LAG1013:31149:20181;"Lagnahönnun; vatns-, hita- og fráveitur";20181;Tækni- og verkfræðideild;2018-01-08 00:00:00.000;2018-04-06 00:00:00.000
SE-BT LAM1013;SE-BT LAM1013:31153:20181;Landmælingar og landupplýsingakerfi;20181;Tækni- og verkfræðideild;2018-04-23 00:00:00.000;2018-05-11 00:00:00.000
SE-BT SST1013;SE-BT SST1013:30431:20173;Steinsteypuvirki I;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-BT UHÖ1001;SE-BT UHÖ1001:30426:20173;Umhverfi, heilsa og öryggi;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-E-101-INNG;SE-E-101-INNG:30611:20173;Heimur íþrótta: Inngangur að íþróttafræðum;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-E-102-RANN;SE-E-102-RANN:30612:20173;Vinnulag í háskólanámi;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-E-103-ANAT;SE-E-103-ANAT:30613:20173;Líffærafræði;20173;Tækni- og verkfræðideild;2017-08-16 00:00:00.000;2017-11-10 00:00:00.000
SE-E-106-HALK;SE-E-106-HALK:30615:20173;Hagnýt leiðtoga og kennslufræði;20173;Tækni- og verkfræðideild;2017-11-27 00:00:00.000;2017-12-15 00:00:00.000
