Room;Description;Seats
Hlíðarendi - fyrirlestur;Hlíðarendi - fyrirlestur;0
Laugardalslaug;Sundlaugin í Laugardal;0
Laugardalur;Fjölnota höll í Laugardal;0
Laugardalur;Laugardalur;40
M101;Fyrirlestrarsalur;138
M102;Kennslustofa;32
M103;Málstofa / Dómsalur;66
M104;Málstofa;80
M105;Málstofa;100
M106;Kennslustofa;45
M107;Tölvustofa;22
M108;Kennslustofa;34
M109;Kennslustofa;32
M110;Kennslustofa;80
M111;Kennslustofa;38
M112;Kennslustofa;18
M113;Kennslustofa;18
M114;Kennslustofa;28
M115;Kennslustofa;28
M116;Kennslustofa;40
M117;Kennslustofa;36
M118;Kennslustofa;40
M119;Kennslustofa;40
M120;Kennslustofa;40
M121;Kennslustofa;40
M122;Kennslustofa;60
M123;Kennslustofa;24
M124;Kennslustofa;70
M201;Hefðbundin kennslustofa;120
M208;Málstofa;80
M209;Málstofa;100
M210;Rannsóknarstofa í íþróttafræði;18
M215;Opni háskólinn;40
M216;Opni háskólinn;30
M217;Opni háskólinn;30
M220;Opni háskólinn;28
M325;Kennslustofa;33
M326;Kennslustofa;33
M327;Kennslustofa;30
U201;Kennslustofa;35
V101;Fyrirlestrarsalur með fullkomnum tæknibúnaði;124
V102;Málstofa;100
V103;Kennslustofa;20
V104;Kennslustofa;36
V105;Kennslustofa;48
V106;Kennslustofa;24
V107;Kennslustofa;48
V108;Kennslustofa;48
V109;Kennslustofa;27
V110;Kennslustofa;19
V111;Kennslustofa;16
V112;Kennslustofa;16
V113 Efnafræðistofa;Efnafræðistofa;25
V114 Heilbrigðisverkfræðistofa;Heilbrigðisverkfræðistofa;0
V116 Byggingatæknistofa;Byggingatæknistofa;0
V118 Vélsmiðja;Vélsmiðja;25
V201;Hefðbundin kennslustofa;140
V206;Kennslustofa;80
V207 Rafeinda- og stýritæknistofa;Rafeinda- og stýritæknistofa;16
V209 Eðlisfræðistofa;Eðlisfræðistofa;16
V220;Rannsóknarstofa - fjármála- og rekstrarverkfræði;18
Verður birt seinna;;100
