sis_Course_Id;Group_Name;BookingType;Count
PS-F BÓK2A03:30780:20173;;Lokapróf;1
PS-F BÓK2A03:30780:20173;T;Fyrirlestrar;18
PS-F BÓK2A03:30780:20173;Y;Fyrirlestrar;18
PS-F BÓK2A03:30780:20173;Z;Fyrirlestrar;18
PS-F DAN2A05:30781:20173;T;Fyrirlestrar;29
PS-F DAN2A05:30781:20173;Y;Fyrirlestrar;29
PS-F DAN2A05:30781:20173;Z;Fyrirlestrar;29
PS-F DAN2A05:31473:20181;;Fyrirlestrar;31
PS-F DAN3A05:31453:20181;;Lokapróf;1
PS-F DAN3A05:31453:20181;T;Fyrirlestrar;31
PS-F DAN3A05:31453:20181;Z;Fyrirlestrar;32
PS-F EÐL2A05:30777:20173;;Lokapróf;1
PS-F EÐL2A05:30777:20173;;Verklegir tímar;2
PS-F EÐL2A05:30777:20173;U;Fyrirlestrar;29
PS-F EÐL2A05:30777:20173;X;Fyrirlestrar;29
PS-F EÐL3A05:31629:20181;;Lokapróf;1
PS-F EÐL3A05:31629:20181;U;Fyrirlestrar;46
PS-F EÐL3A05:31629:20181;X;Fyrirlestrar;48
PS-F EFN2A05:31631:20181;;Lokapróf;1
PS-F EFN2A05:31631:20181;U;Fyrirlestrar;45
PS-F EFN2A05:31631:20181;X;Fyrirlestrar;45
PS-F EFN2A05:31631:20181;X;Verklegir tímar;1
PS-F ENS3A10:30773:20173;T;Fyrirlestrar;58
PS-F ENS3A10:30773:20173;X;Fyrirlestrar;58
PS-F ENS3A10:30773:20173;Y;Fyrirlestrar;58
PS-F ENS3A10:30773:20173;Z;Fyrirlestrar;58
PS-F ENS3B05:31636:20181;;Lokapróf;1
PS-F ENS3B05:31636:20181;T;Fyrirlestrar;31
PS-F ENS3B05:31636:20181;X;Fyrirlestrar;32
PS-F ENS3B05:31636:20181;Y;Fyrirlestrar;32
PS-F ENS3B05:31636:20181;Z;Fyrirlestrar;32
PS-F EXC2A02:30775:20173;T;Fyrirlestrar;11
PS-F EXC2A02:30775:20173;U;Fyrirlestrar;11
PS-F EXC2A02:30775:20173;X;Fyrirlestrar;11
PS-F EXC2A02:30775:20173;Y;Fyrirlestrar;11
PS-F EXC2A02:30775:20173;Z;Fyrirlestrar;12
PS-F FOR3A03:30778:20173;;Lokapróf;1
PS-F FOR3A03:30778:20173;U;Fyrirlestrar;18
PS-F FOR3A03:30778:20173;X;Fyrirlestrar;18
PS-F FOR3A05:30779:20173;;Fyrirlestrar;29
PS-F FOR3A05:30779:20173;;Lokapróf;1
PS-F FOR3B05:31494:20181;;Fyrirlestrar;33
PS-F FOR3B05:31494:20181;;Lokapróf;1
PS-F ÍSL2A10:31010:20173;;Fyrirlestrar;74
PS-F ÍSL2A10:31010:20173;;Lokapróf;1
PS-F ÍSL2A10:31011:20173;;Fyrirlestrar;59
PS-F ÍSL2A10:31011:20173;;Lokapróf;1
PS-F ÍSL2A10:31012:20173;;Fyrirlestrar;58
PS-F ÍSL2A10:31012:20173;;Lokapróf;1
