DAGSETNING;HEFST;;ENDAR;NAMSGREIN;HEITI;HOPUR;STOFA;NAFN STOFU;BYGGING
09.04.2018;09:00;;12:00;T-631-SOE2;Hugbúnaðarfræði II - Prófanir, TD-staðarnám;;V109;Kennslustofa;Venus, fyrsta hæð
09.04.2018;14:00;;18:00;T-201-GSKI;Gagnaskipan, TD-staðarnám, HMV;;M201;Hefðbundin kennslustofa;2. hæð
09.04.2018;14:00;;17:00;T-508-GAG2;Afköst gagnasafnskerfa, TD-staðarnám;;V102;Málstofa;Venus, 1sta hæð
10.04.2018;09:00;;12:00;T-622-ARTI;Gervigreind, TD-staðarnám;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
11.04.2018;09:00;;12:00;T-308-PRLA;Forritunarmálið Python, TD-Staðarnám;;M201;Hefðbundin kennslustofa;2. hæð
12.04.2018;09:00;;12:00;T-216-GHOH;Greining og hönnun hugbúnaðar, TD-staðarnám, HMV;;M201;Hefðbundin kennslustofa;2. hæð
12.04.2018;14:00;;17:00;T-218-ALCO;Algebra og fléttufræði, TD-staðarnám;;V206;Kennslustofa;2. hæð Venus
12.04.2018;14:00;;17:00;T-637-GEDE;Högun leikjavéla, TD-staðarnám;;M208;Málstofa;Mars, önnur hæð
13.04.2018;09:00;;12:00;T-501-FMAL;Forritunarmál, TD-staðarnám, HMV;;M201;Hefðbundin kennslustofa;2. hæð
13.04.2018;14:00;;16:00;I-707-VGBI;Viðskiptagreind, TD-staðarnám;;M110;Kennslustofa;Mars, fyrsta hæð
13.04.2018;14:00;;17:00;T-415-STAN;Töluleg greining fyrir hugbúnaðarverkfræðinema, TD-staðarnám;;V206;Kennslustofa;2. hæð Venus
13.04.2018;14:00;;17:00;T-701-REM4;Aðferðafræði rannsókna, TD-MSc;;V201;Hefðbundin kennslustofa;2. hæð
16.04.2018;09:00;;12:00;T-419-STR2;Strjál stærðfræði II, TD-staðarnám, HMV;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
17.04.2018;09:00;;11:00;T-215-STY1;Stýrikerfi, TD-staðarnám, HMV;;V102;Málstofa;Venus, 1sta hæð
17.04.2018;09:00;;12:00;T-444-USTY;Grunnatriði stýrikerfa, TD-staðarnám, HMV;;M201;Hefðbundin kennslustofa;2. hæð
18.04.2018;09:00;;13:00;T-111-PROG;Forritun, TD-staðarnám;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
18.04.2018;14:00;;16:00;T-419-CADP;Samhliða og dreifð forritun, TD-staðarnám;;M201;Hefðbundin kennslustofa;2. hæð
18.04.2018;14:00;;17:00;T-732-GAPL;General Game Playing, TD-MSc;;M201;Hefðbundin kennslustofa;2. hæð
20.04.2018;09:00;;12:00;T-213-VEFF;Vefforritun, TD-staðarnám, HMV;;M201;Hefðbundin kennslustofa;2. hæð
20.04.2018;14:00;;17:00;T-427-WEPO;Vefforritun II, TD-staðarnám;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
05.04.2018;09:00;;13:00;V-758-FINC;Skuldabréfagreining, Meistaranám VD;;M209;Málstofa;Mars, önnur hæð
06.04.2018;09:00;;11:00;V-514-VISI;Viðskiptasiðfræði, Viðskiptafræði - staðarnám;;M105;Málstofa;Mars, fyrsta hæð
09.04.2018;09:00;;12:00;E-116-SAEI;Sálfræði einstaklingsmunar, BSc-nám í sálfræði;;M105;Málstofa;Mars, fyrsta hæð
09.04.2018;09:00;;12:00;V-201-RHAG;Rekstrarhagfræði I, Viðskiptafræði - staðarnám;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
09.04.2018;14:00;;17:00;E-507-VINN;Vinnusálfræði, BSc-nám í sálfræði;;M110;Kennslustofa;Mars, fyrsta hæð
09.04.2018;14:00;;17:00;V-627-VERK;Verkefnastjórnun, Viðskiptafræði - staðarnám;;V108;Kennslustofa;Venus, fyrsta hæð (V.1.03=2.1.0)
10.04.2018;09:00;;12:00;V-625-REII;Rekstrarhagfræði II, Viðskipta- og hagfræði - staðarnám;;M201;Hefðbundin kennslustofa;2. hæð
