Student_Id;Group;Course_Id;Student_Department
Nemi_3948;;SB-E-112-LIAT:30631:20173;Viðskiptadeild
Nemi_3948;;SB-E-115-VIHI:30635:20173;Viðskiptadeild
Nemi_3948;;SB-E-216-FESA:30636:20173;Viðskiptadeild
Nemi_2852;Hópur 1;SC-T-514-VEFT:30684:20173;Tölvunarfræðideild
Nemi_2852;;SC-T-611-NYTI:30808:20181;Tölvunarfræðideild
Nemi_3485;;SB-V-311-OPMA:31058:20181;Viðskiptadeild
Nemi_3515;;SC-I-707-VGBI:30812:20181;Tækni- og verkfræðideild
Nemi_3515;;SE-T-806-SIMU:31040:20173;Tækni- og verkfræðideild
Nemi_3515;;SE-T-814-DERI:31258:20181;Tækni- og verkfræðideild
Nemi_1355;Hópur 3;SC-T-514-VEFT:30684:20173;Tölvunarfræðideild
Nemi_4407;;SE-AI STJ1003:31108:20181;Tækni- og verkfræðideild
Nemi_4364;;SB-V-802-BULA:31191:20181;Viðskiptadeild
Nemi_4364;;SB-V-865-AUD2:30569:20173;Viðskiptadeild
Nemi_4225;;PS-F FOR3A05:30779:20173;Frumgreinadeild
Nemi_3721;;PS-F DAN2A05:31473:20181;Frumgreinadeild
Nemi_3721;X;PS-F EÐL2A05:30777:20173;Frumgreinadeild
Nemi_3721;X;PS-F EFN2A05:31631:20181;Frumgreinadeild
Nemi_3721;X;PS-F ENS3A10:30773:20173;Frumgreinadeild
Nemi_3721;;PS-F ÍSL2A10:31010:20173;Frumgreinadeild
Nemi_3721;X;PS-F STÆ2B05:31006:20173;Frumgreinadeild
Nemi_3721;X;PS-F STÆ3A07:31007:20173;Frumgreinadeild
Nemi_3721;X;PS-F STÆ4A10:31637:20181;Frumgreinadeild
Nemi_1250;;SB-E-507-VINN:31563:20181;Viðskiptadeild
Nemi_1774;;SE-T-100-HUGM:30417:20173;Tækni- og verkfræðideild
Nemi_1774;H3;SE-T-102-EDL1:30460:20173;Tækni- og verkfræðideild
Nemi_4006;;SB-V-713-ECO3:30906:20173;Viðskiptadeild
Nemi_4006;;SB-V-741-OPMA:31552:20181;Viðskiptadeild
Nemi_4006;;SB-V-742-BUST:31550:20181;Viðskiptadeild
Nemi_4006;;SB-V-744-COFI:31549:20181;Viðskiptadeild
Nemi_2765;;SL-L-502-SKAT:30022:20173;Lagadeild
Nemi_4397;;SE-T-872-VSGA:30728:20173;Tækni- og verkfræðideild
